lead_id,company_legal_name
T9-1129,"APTARGROUP, INC."
T9-1130,VALLEY NATIONAL BANCORP
T9-1138,FEDERAL SIGNAL CORP /DE/
T9-1146,"Rexford Industrial Realty, Inc."
T9-1159,"Mirum Pharmaceuticals, Inc."
T9-1160,Ralliant Corp
T9-1165,JBT MAREL Corp
T9-1167,Loar Holdings Inc.
T9-1170,"Central Bancompany, Inc."
T9-1172,UGI CORP /PA/
T9-1177,Booz Allen Hamilton Holding Corp
T9-1183,Super Group (SGHC) Ltd
T9-1196,South Bow Corp
T9-1199,"Arcosa, Inc."
T9-1201,Enpro Inc.
T9-1202,FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE
T9-1209,"PACS Group, Inc."
T9-1211,DPC Holdings Ltd
T9-1213,DSC Holdings Ltd.
T9-1223,"OneMain Holdings, Inc."
T9-1226,MSC INDUSTRIAL DIRECT CO INC
T9-1229,QMMM Holdings Ltd
T9-1231,"Core Scientific, Inc./tx"
T9-1234,FNB CORP/PA/
T9-1237,"ESSENTIAL PROPERTIES REALTY TRUST, INC."
T9-1241,MYR GROUP INC.
T9-1244,"Vista Energy, S.A.B. de C.V."
T9-1257,Taylor Morrison Home Corp
T9-1261,LEAR CORP
T9-1265,VSE CORP
T9-1269,CHEMED CORP
T9-1271,ICL Group Ltd.
T9-1280,V F CORP
T9-1281,UNITED BANKSHARES INC/WV
T9-1288,Brookfield Business Corp
T9-1297,TXNM ENERGY INC
T9-1306,COMMVAULT SYSTEMS INC
T9-1312,"Janus Living, Inc."
T9-1329,"FLAGSTAR BANK, NATIONAL ASSOCIATION"
T9-1331,Ameris Bancorp
T9-1332,Noble Corp plc
T9-1336,Atlantic Union Bankshares Corp
T9-1340,Grupo Aval Acciones Y Valores S.A.
T9-1344,ENERGY CO OF MINAS GERAIS
T9-1345,"GXO Logistics, Inc."
T9-1346,Essent Group Ltd.
T9-1347,GDS Holdings Ltd
T9-1356,OR Royalties Inc.
T9-1375,Macro Bank Inc.
T9-1382,"ALASKA AIR GROUP, INC."
T9-1384,RUSH ENTERPRISES INC \TX\
T9-1390,MDA Space Ltd.
T9-1392,BLACK HILLS CORP /SD/
T9-1399,LOUISIANA-PACIFIC CORP
T9-1413,"WEST FRASER TIMBER CO., LTD"
T9-1422,TELECOM ARGENTINA SA
T9-1423,Central North Airport Group
T9-1431,"BGC Group, Inc."
T9-1436,Valaris Ltd
T9-1441,Stevanato Group S.p.A.
T9-1448,"Oruka Therapeutics, Inc."
T9-1450,Alliance Laundry Holdings Inc.
T9-1454,Moelis & Co
T9-1455,Graham Holdings Co
T9-1458,"Sabra Health Care REIT, Inc."
T9-1465,RADIAN GROUP INC
T9-1471,TFS Financial CORP
T9-1473,FIRST FINANCIAL BANKSHARES INC
T9-1477,"Kiniksa Pharmaceuticals International, plc"
T9-1484,Dave Inc./DE
T9-1486,SILGAN HOLDINGS INC
T9-1488,"CNO Financial Group, Inc."
T9-1489,"HA Sustainable Infrastructure Capital, Inc."
T9-1491,ICAHN ENTERPRISES L.P.
T9-1494,"GPGI, Inc."
T9-1503,SLM Corp
T9-1507,"Eastern Bankshares, Inc."
T9-1508,PIPER SANDLER COMPANIES
T9-1511,Brookfield Infrastructure Corp
T9-1513,CNX Resources Corp
T9-1522,"MARA Holdings, Inc."
T9-1528,Science Applications International Corp
T9-1532,"Life360, Inc."
T9-1544,FULTON FINANCIAL CORP
T9-1552,"e.l.f. Beauty, Inc."
T9-1553,TANGER INC.
T9-1558,HERC HOLDINGS INC
T9-1576,DIODES INC /DEL/
T9-1579,"RXO, Inc."
T9-1582,"MiniMed Group, Inc."
T9-1593,MDU RESOURCES GROUP INC
T9-1600,GAS TRANSPORTER OF THE SOUTH INC
T9-1612,UNITED COMMUNITY BANKS INC
T9-1616,CMB.TECH NV
T9-1618,"Post Holdings, Inc."
T9-1622,"iRhythm Holdings, Inc."
T9-1630,TELEPHONE & DATA SYSTEMS INC /DE/
T9-1631,CORPORACION AMERICA AIRPORTS S.A.
T9-1634,monday.com Ltd.
T9-1642,FIRST BANCORP /PR/
T9-1650,GEO GROUP INC
T9-1653,"BILL Holdings, Inc."
T9-1655,CVB FINANCIAL CORP
T9-1657,WSFS FINANCIAL CORP
T9-1660,"Core Natural Resources, Inc."
T9-1664,Banco BBVA Argentina S.A.
T9-1667,BRIGHT HORIZONS FAMILY SOLUTIONS INC.
T9-1668,"MIAMI INTERNATIONAL HOLDINGS, INC."
T9-1671,Ondas Inc.
T9-1682,ICU MEDICAL INC/DE
T9-1687,SKYWEST INC
T9-1702,Archer Aviation Inc.
T9-1713,"Palomar Holdings, Inc."
T9-1714,Madison Square Garden Entertainment Corp.
T9-1716,AXT INC
T9-1717,"F&G Annuities & Life, Inc."
T9-1718,"Atlanta Braves Holdings, Inc."
T9-1719,FEDERAL HOME LOAN MORTGAGE CORP
T9-1724,UNIVERSAL DISPLAY CORP \PA\
T9-1728,"FIRST HAWAIIAN, INC."
T9-1734,FIRST FINANCIAL BANCORP /OH/
T9-1741,Mechanics Bancorp
T9-1751,NICOLET BANKSHARES INC
T9-1753,SunocoCorp LLC
T9-1757,ST JOE Co
T9-1767,PVH CORP. /DE/
T9-1775,GROUP 1 AUTOMOTIVE INC
T9-1789,TIDEWATER INC
T9-1793,PARK NATIONAL CORP /OH/
T9-1795,SL Science Holding Ltd
T9-1801,WD 40 CO
T9-1802,Aris Mining Corp
T9-1804,"Q2 Holdings, Inc."
T9-1807,NCR Atleos Corp
T9-1808,PATTERSON UTI ENERGY INC
T9-1812,LXP Industrial Trust
T9-1820,SEACOAST BANKING CORP OF FLORIDA
T9-1821,Turk Altin Isletmeleri A.S./ADR
T9-1829,GRAPHIC PACKAGING HOLDING CO
T9-1836,MARZETTI CO
T9-1848,FULLER H B CO
T9-1856,UNITED STATES LIME & MINERALS INC
T9-1858,ZIM Integrated Shipping Services Ltd.
T9-1874,BKV Corp
T9-1891,"PAR PACIFIC HOLDINGS, INC."
T9-1892,"Black Stone Minerals, L.P."
T9-1894,BEL FUSE INC /NJ
T9-1900,NIQ Global Intelligence plc
T9-1906,MCGRATH RENTCORP
T9-1910,Ardagh Metal Packaging S.A.
T9-1912,FB Financial Corp
T9-1916,Chemours Co
T9-1919,Versigent PLC
T9-1920,"Kailera Therapeutics, Inc."
T9-1921,Cosan S.A.
T9-1925,WAFD INC
T9-1933,National Energy Services Reunited Corp.
T9-1935,Star Bulk Carriers Corp.
T9-1945,Keel Infrastructure Corp.
T9-1951,"Centuri Holdings, Inc."
T9-1954,UNITED NATURAL FOODS INC
T9-1959,IQM Quantum Computers Oyj
T9-1960,"Hub Group, Inc."
T9-1963,"Vistance Networks, Inc."
T9-1973,StoneCo Ltd.
T9-1976,"WORTHINGTON ENTERPRISES, INC."
T9-1980,ATS Corp /ATS
T9-1982,DANA Inc
T9-1983,"JOHN WILEY & SONS, INC."
T9-1988,"Bancorp, Inc."
T9-1993,FIRST BANCORP /NC/
T9-1994,"Customers Bancorp, Inc."
T9-1999,H2O AMERICA
